"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","NC","NE","NH","NJ","NV","NY","OH","OK","OR","PA","RI","SC","TN","TX","UT","VA","VT","WA","WI","WV"
"8_2022",341223.115844388,221141.130880394,158472.2,458675.579229768,780563.922861669,696141.724489791,371015.016114551,551348.145179735,426128.835241901,384156.163158455,245979.874816203,956399.599999999,214670.011788139,466801.095039642,199362.277123636,233238.877051076,184356.938140091,210309.502530298,177957.781131723,466366.66678327,332190.688775776,337862.591514939,239462.746313503,293465.258783086,191861.851844365,316844.224010492,267553.193057566,370725.19741235,406737.282907409,625398.17994831,216820.427972928,189503.2,137226.99952856,515719.968628818,221914.927887356,452694.307313611,364229.827545815,259342.329227997,313553.517971932,584681.583802908,337334.289206557,348869.6811121,563871.55854673,267254.6,126782.801297946
"9_2022",342323.163885866,224069.070527473,161086.3,464984.627178614,786873.565719504,709092.857342232,372890.017695608,554338.997931637,435834.952305316,392229.378672706,250692.75615351,970935.899999999,216501.751602027,479754.877210543,201317.799953867,236065.723043953,186709.452816954,213705.423104061,179523.652940438,471231.880248065,335689.280586667,342440.808100459,242432.471785324,296245.036603857,193836.442896385,323599.496839862,269566.635792876,376645.710498934,413418.434329481,636254.607404706,219195.145004074,191661.8,139276.592831003,524153.711941014,224553.809305776,456922.056529667,369822.138932574,264125.088083256,317354.09155555,591676.697245536,341251.901649108,354316.844222497,571199.886148974,269005.9,128243.615975823
"10_2022",343489.11868493,226983.093836535,163700.4,471264.251519292,793919.423231389,721969.354158232,374770.498566475,557329.850683539,445591.105148974,400276.836717599,255498.722734372,985472.199999999,218332.240543985,491149.033309278,203312.124268545,238886.377006671,189057.333454903,217073.426113953,181103.494625629,476102.32044341,339187.872397558,347137.94822666,245402.761591225,299023.533158186,195811.050829445,330406.602357646,271588.892612858,382566.223585519,420099.585751552,647076.594574686,221568.102729957,193820.4,141317.980005258,532585.488753709,227193.611730402,461213.869843118,375434.451649936,268906.00011948,321192.765665022,598689.871053095,345106.97001669,359554.339947525,579115.921930068,270757.2,129700.243720802
"11_2022",344966.019998017,229884.189906926,166314.5,477438.289625611,801079.419207693,734957.439930561,376651.337915713,560320.703435441,455574.169016694,408301.587743798,260261.38414456,1000008.5,220162.079078616,503889.704240806,205332.915922292,241690.605626862,191373.7736558,220546.608854562,182684.622987981,480949.931182368,342686.464208448,351946.759481296,248379.283320743,301798.116355045,197785.65773829,337259.815781446,273590.058095192,388486.736672104,426780.737173623,657689.215787604,223941.349145581,195979,143412.517670179,541022.005389746,229835.476256819,465566.666638009,381062.963930547,273688.025687183,325101.474921225,605755.966973202,348909.755963827,364897.612930588,586435.395059808,272508.5,131257.358891858
"12_2022",346245.474816807,232801.495019666,168928.6,483523.429705987,807903.614429021,747921.457326643,378532.138371514,563311.556187343,465676.541341348,416314.025267725,265064.731105538,1014544.8,221991.328445769,515232.061667429,207322.270417612,244506.13939249,193684.671383652,223866.485800707,184290.965235731,485746.241699033,346185.056019339,356826.237784064,251361.416617809,304570.368069692,199760.260115404,344149.871817889,275589.297167699,394407.249758689,433461.888595695,668246.634911849,226310.914779328,198137.6,145390.421042716,549454.250919912,232475.832021488,469885.694453105,386673.213459195,278469.379855941,328973.919463423,612562.943955773,352693.717009641,370107.907240582,594276.051201525,274259.8,132790.569722267
"1_2023",347480.813722333,235716.142565262,171542.7,489556.319672036,814697.800119865,760919.384838492,380412.93463038,566302.408939245,475856.830026866,424316.074832772,269820.44009412,1029081.1,223820.276804576,527940.843584891,209265.020854383,247319.368605542,196003.999033939,227283.13517347,185894.679311079,490573.864174798,349683.64783023,361726.314923131,254341.993615825,307342.159062841,201734.858997054,351067.212285696,277584.564236179,400327.762845273,440143.040017766,678761.011073134,228680.439851106,200296.2,147374.912554894,557888.109102667,235115.978806724,474281.405625478,392295.440187791,283251.138841763,332865.142141218,619421.391203692,356499.463621624,375457.051661184,601549.631655137,276011.1,134315.711254779
"2_2023",348720.992991198,238630.199492252,174156.8,495598.940084685,821541.343413443,773871.641047515,382293.759841604,569293.261691147,486109.186927086,432312.744780715,274628.794915088,1043617.4,225648.947548807,539421.208447253,211247.203160563,250137.231479519,198337.140368977,230660.265892842,187499.447925236,495406.924986248,353182.239641121,366607.946534309,257320.456434923,310114.971945646,203709.456000687,358008.902518563,279578.955687851,406248.275931858,446824.191439837,689272.70554383,231049.038486958,202454.8,149323.59477047,566319.254540641,237756.182090243,478599.667072802,397917.33720403,288032.653744903,336746.64136231,626144.564667048,360267.345907379,380725.729609141,609326.110493682,277762.4,135791.680130227
"3_2023",350012.674709455,241541.90736791,176770.9,501546.656226781,828427.718726365,786819.699543196,384174.60436984,572284.114443049,496428.202838494,440303.938140692,279408.183485528,1058153.7,227477.47909167,552112.495439487,213228.825780315,252953.647574073,200673.69134512,234065.809209789,189102.2537986,500238.166543848,356680.831452011,371451.892865182,260295.868532437,312888.746090345,205684.052227235,364974.902930836,281572.529835577,412168.789018443,453505.342861909,699819.456984929,233418.860873835,204613.4,151330.40312705,574752.04017369,240396.930175894,482952.96691935,403554.33274052,292814.31581663,340633.175460788,632985.114138645,363976.361440579,386075.826364997,616576.85733865,279513.7,137275.193430821
"4_2023",351333.941805225,244455.770980052,179385,507512.985751563,835296.744981093,799772.336379952,386055.444830849,575274.967194951,506808.874554624,448292.224980496,284224.833765282,1072690,229305.879767089,563613.264664738,215260.171613823,255765.783527412,203002.260671434,237438.865749328,190705.418140337,505062.079787082,360179.423262902,376258.165433949,263272.370202631,315662.989168273,207658.648226629,371964.318502334,283565.839474342,418089.302105028,460186.49428398,710139.212939816,235788.758153844,206772,153331.9303084,583183.64796626,243037.391417862,487300.305622571,409198.797263717,297595.8891537,344517.102462729,639647.085984051,367631.593122801,391336.415607943,624146.701650744,281265,138763.531491392
"5_2023",352588.732238445,247369.201112254,181999.1,513017.298889983,842156.048595496,812727.636100325,387936.296335445,578265.819946853,517246.57439326,456277.406043255,289010.02601616,1087226.3,231134.21612164,576216.96025357,217287.851774092,258580.758083644,205325.140135221,240838.407209191,192308.408081092,509889.037122453,363678.015073793,381039.172612813,266249.788007955,318437.073283668,209633.244209498,378973.526436951,285558.969546164,424009.815191612,466867.645706051,720051.27564502,238159.299420658,208930.6,155355.919559593,591616.540860714,245677.790522803,491751.525091009,414872.669575255,302377.515992944,348402.379438429,645983.453748295,371275.56595505,396656.045243461,631192.858840014,283016.3,140244.959715759
"6_2023",353861.080170414,250282.736948034,184613.2,518204.374481294,849014.631561583,825703.554481411,389817.173549734,581256.672698755,527737.022010812,464261.096444174,293816.420856608,1101762.6,232962.490757695,587758.378805251,219363.730003673,261394.952879038,207646.693561938,244222.277456946,193911.562900544,514717.174171732,367176.606884683,385811.276960498,269228.514079414,321210.844012975,211607.840228474,385998.212862095,287552.028809824,429930.328278197,473548.797128123,729652.948638677,240529.519161215,211089.199999999,157350.850625457,600048.664381513,248318.163898507,496251.780765246,420570.243264262,307159.110573286,352286.957387789,652033.795752169,374918.443698803,401923.907761279,638369.909668494,284767.6,141727.7613526
"7_2023",355134.667939693,253195.875297433,187227.3,523183.29668698,855877.876029483,838660.566356577,391698.037691455,584247.525450657,538276.258332225,472243.133579204,298604.506148093,1116298.9,234790.735699513,600338.557845039,221471.633082988,264210.491956975,209973.453366572,247615.902730626,195514.674523673,519545.301343193,370675.198695574,390587.991801661,272206.855793108,323984.369854667,213582.436280696,393035.750931722,289545.046906595,435850.841364782,480229.948550194,739267.754338884,242899.781918394,213247.799999999,159349.7808116,608481.488060533,250958.672126143,500768.8079256,426297.465113877,311940.724603992,356171.897298129,658059.613496015,378556.04845529,407248.740613998,645206.358749633,286518.9,143239.00496602
"8_2023",356423.243604355,256109.311768127,189841.4,528360.917091033,862741.309037226,851628.419202781,393578.827724407,587238.378202559,548860.621437613,480224.465394056,303408.295441446,1130835.2,236618.95152061,611938.353315837,223580.794290356,267025.693285601,212302.922038018,251001.317352039,197117.807767791,524372.429710955,374173.790506465,395376.540069587,275184.559061649,326757.868487631,215557.032352311,400085.310083822,291538.046980761,441771.354451367,486911.099972265,749204.826081108,245269.733170259,215406.399999999,161335.229261927,616913.720868745,253599.128719914,505210.853456457,432031.918040731,316722.326907186,360056.649782411,664381.780005323,382198.835137747,412531.666568425,652273.939233822,288270.2,144732.515117328
"9_2023",357704.697147397,259022.669940218,192455.5,533859.411403037,869603.992103996,864577.798959813,395459.549188913,590229.230954461,559486.724258774,488204.913478109,308204.331692527,1145371.5,238447.15364648,624474.765545644,225642.880047574,269839.787450003,214632.189143352,254393.631532167,198720.926192,529199.807018815,377672.382317356,400177.691779132,278161.89341485,329531.443289225,217531.628432573,407146.464223948,293531.037375416,447691.867537951,493592.251394337,759183.242943246,247639.752167567,217564.999999999,163335.27942613,625346.359843929,256239.571143344,509436.034202789,437766.155669298,321503.936281432,363941.499317285,671087.369567049,385814.500237776,417848.52959947,659276.450179689,290021.5,146282.703527837
