"Date","jpy"
2001-08-28,120.019997
2001-08-29,120.160004
2001-08-30,119.43
2001-08-31,118.75
2001-09-03,118.709999
2001-09-04,119.400002
2001-09-05,120.739998
2001-09-06,120.940002
2001-09-07,120
2001-09-10,121.099998
2001-09-11,119.580002
2001-09-12,119.610001
2001-09-13,118.809998
2001-09-14,117.32
2001-09-17,117.860001
2001-09-18,117.260002
2001-09-19,117.5
2001-09-20,116.43
2001-09-21,116.589996
2001-09-24,117.550003
2001-09-25,117.510002
2001-09-26,117.879997
2001-09-27,119.660004
2001-09-28,119.480003
2001-10-01,120.300003
2001-10-02,120.610001
2001-10-03,120.580002
2001-10-04,120.470001
2001-10-05,120.470001
2001-10-08,119.720001
2001-10-09,120.199997
2001-10-10,120.260002
2001-10-11,121.400002
2001-10-12,121.220001
2001-10-15,120.800003
2001-10-16,121.269997
2001-10-17,121.220001
2001-10-18,121.139999
2001-10-19,121.169998
2001-10-22,122.379997
2001-10-23,122.510002
2001-10-24,122.809998
2001-10-25,122.879997
2001-10-26,122.650002
2001-10-29,121.889999
2001-10-30,122.120003
2001-10-31,122.400002
2001-11-01,121.970001
2001-11-02,121.620003
2001-11-05,121.559998
2001-11-06,121.169998
2001-11-07,121.160004
2001-11-08,120.120003
2001-11-09,120.220001
2001-11-12,120.57
2001-11-13,121.419998
2001-11-14,121.529999
2001-11-15,122.449997
2001-11-16,122.870003
2001-11-19,123.080002
2001-11-20,122.57
2001-11-21,123.150002
2001-11-22,123.949997
2001-11-23,124.279999
2001-11-26,124.050003
2001-11-27,123.970001
2001-11-28,123.150002
2001-11-29,123.940002
2001-11-30,123.449997
2001-12-03,124.279999
2001-12-04,124.139999
2001-12-05,124.160004
2001-12-06,124.550003
2001-12-07,125.489998
2001-12-10,125.949997
2001-12-11,125.830002
2001-12-12,125.910004
2001-12-13,126.120003
2001-12-14,127.370003
2001-12-17,127.639999
2001-12-18,128.259995
2001-12-19,128.369995
2001-12-20,129.199997
2001-12-21,129.5
2001-12-24,129.850006
2001-12-25,130.850006
2001-12-26,131.279999
2001-12-27,131.809998
2001-12-28,131.050003
2001-12-31,131.669998
2002-01-01,131.929993
2002-01-02,132.139999
2002-01-03,131.699997
2002-01-04,131.020004
2002-01-07,131.25
2002-01-08,132.919998
2002-01-09,132.940002
2002-01-10,132.130005
2002-01-11,132.149994
2002-01-14,131.630005
2002-01-15,131.220001
2002-01-16,132.190002
2002-01-17,132.449997
2002-01-18,132.619995
2002-01-21,132.949997
2002-01-22,133.660004
2002-01-23,134.529999
2002-01-24,134.850006
2002-01-25,134.550003
2002-01-28,133.559998
2002-01-29,133.440002
2002-01-30,132.869995
2002-01-31,134.869995
2002-02-01,133.100006
2002-02-04,132.029999
2002-02-05,133.800003
2002-02-06,133.639999
2002-02-07,133.949997
2002-02-08,134.669998
2002-02-11,133.369995
2002-02-12,132.720001
2002-02-13,133
2002-02-14,132.050003
2002-02-15,132.589996
2002-02-18,132.660004
2002-02-19,133.419998
2002-02-20,133.770004
2002-02-21,134.199997
2002-02-22,134.110001
2002-02-25,133.839996
2002-02-26,134.520004
2002-02-27,134.220001
2002-02-28,133.460007
2002-03-01,133.320007
2002-03-04,131.949997
2002-03-05,132.220001
2002-03-06,130.740005
2002-03-07,127.620003
2002-03-08,128.619995
2002-03-11,128.020004
2002-03-12,129.029999
2002-03-13,129.360001
2002-03-14,129.25
2002-03-15,129.009995
2002-03-18,131.160004
2002-03-19,132.199997
2002-03-20,131.350006
2002-03-21,132.110001
2002-03-22,132.899994
2002-03-25,133.300003
2002-03-26,133.080002
2002-03-27,132.729996
2002-03-28,132.75
